"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.99999,3.6685e-06,-3.8946e-08,4.564e-08,1,0,-1,1,0
1,0.99999,3.5822e-06,-3.4471e-08,4.8075e-08,1,0.00099999,-0.999,1,0
1,0.99999,3.4959e-06,-2.9996e-08,5.0509e-08,1,0.002,-0.998,1,0
1,0.99999,3.4096e-06,-2.552e-08,5.2943e-08,1,0.003,-0.997,1,0
1,0.99999,3.3233e-06,-2.1045e-08,5.5377e-08,1,0.004,-0.996,1,0
1,0.99999,3.237e-06,-1.657e-08,5.7811e-08,1,0.005,-0.995,1,0
1,0.99999,3.1507e-06,-1.2095e-08,6.0245e-08,1,0.006,-0.994,1,0
1,0.99999,3.0643e-06,-7.6193e-09,6.268e-08,1,0.007,-0.993,1,0
1,0.99999,2.978e-06,-3.1442e-09,6.5114e-08,1,0.008,-0.992,1,0
1,0.99999,2.8917e-06,1.331e-09,6.7548e-08,1,0.009,-0.991,1,0
1,0.99999,2.8054e-06,5.8061e-09,6.9982e-08,1,0.01,-0.99,1,0
1,0.99999,2.7191e-06,1.0281e-08,7.2416e-08,1,0.011,-0.989,1,0
1,0.99999,2.6328e-06,1.4757e-08,7.485e-08,1,0.012,-0.988,1,0
1,0.99999,2.5465e-06,1.9232e-08,7.7284e-08,1,0.013,-0.987,1,0
1,1,2.4602e-06,2.3707e-08,7.9719e-08,1,0.014,-0.986,1,0
1,1,2.3739e-06,2.8182e-08,8.2153e-08,1,0.015,-0.985,1,0
1,1,2.2875e-06,3.2657e-08,8.4587e-08,1,0.016,-0.984,1,0
1,1,2.2012e-06,3.7133e-08,8.7021e-08,1,0.017,-0.983,1,0
1,1,2.1149e-06,4.1608e-08,8.9455e-08,1,0.018,-0.982,1,0
1,1,2.0286e-06,4.6083e-08,9.1889e-08,1,0.019,-0.981,1,0
1,1,1.9423e-06,5.0558e-08,9.4323e-08,1,0.02,-0.98,1,0
1,1,1.856e-06,5.5033e-08,9.6758e-08,1,0.021,-0.979,1,0
1,1,1.7697e-06,5.9509e-08,9.9192e-08,1,0.022,-0.978,1,0
1,1,1.6834e-06,6.3984e-08,1.0163e-07,1,0.023,-0.977,1,0
1,1,1.5971e-06,6.8459e-08,1.0406e-07,1,0.024,-0.976,1,0
1,1,1.5107e-06,7.2934e-08,1.0649e-07,1,0.025,-0.975,1,0
1,1,1.4244e-06,7.7409e-08,1.0893e-07,1,0.026,-0.974,1,0
1,1,1.3381e-06,8.1885e-08,1.1136e-07,1,0.027,-0.973,1,0
1,1,1.2518e-06,8.636e-08,1.138e-07,1,0.028,-0.972,1,0
1,1,1.1655e-06,9.0835e-08,1.1623e-07,1,0.029,-0.971,1,0
1,1,1.0792e-06,9.531e-08,1.1866e-07,1,0.03,-0.97,1,0
1,1,9.9287e-07,9.9785e-08,1.211e-07,1,0.031,-0.969,1,0
