"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99206,1.0111,-0.024427,-0.0048242,0.016553,1,0,-1,1,0
0.99219,1.0109,-0.024366,-0.0049775,0.016292,1,0.00099999,-0.999,1,0
0.99233,1.0107,-0.024304,-0.0051309,0.01603,1,0.002,-0.998,1,0
0.99246,1.0105,-0.024243,-0.0052842,0.015768,1,0.003,-0.997,1,0
0.99259,1.0103,-0.024182,-0.0054376,0.015507,1,0.004,-0.996,1,0
0.99273,1.0101,-0.024121,-0.0055909,0.015245,1,0.005,-0.995,1,0
0.99286,1.0099,-0.02406,-0.0057443,0.014983,1,0.006,-0.994,1,0
0.99299,1.0097,-0.023999,-0.0058976,0.014721,1,0.007,-0.993,1,0
0.99312,1.0095,-0.023937,-0.006051,0.01446,1,0.008,-0.992,1,0
0.99326,1.0093,-0.023876,-0.0062043,0.014198,1,0.009,-0.991,1,0
0.99339,1.0091,-0.023815,-0.0063577,0.013936,1,0.01,-0.99,1,0
0.99352,1.0088,-0.023754,-0.006511,0.013675,1,0.011,-0.989,1,0
0.99366,1.0086,-0.023693,-0.0066644,0.013413,1,0.012,-0.988,1,0
0.99379,1.0084,-0.023632,-0.0068177,0.013151,1,0.013,-0.987,1,0
0.99392,1.0082,-0.023571,-0.006971,0.012889,1,0.014,-0.986,1,0
0.99405,1.008,-0.023509,-0.0071244,0.012628,1,0.015,-0.985,1,0
0.99419,1.0078,-0.023448,-0.0072777,0.012366,1,0.016,-0.984,1,0
0.99432,1.0076,-0.023387,-0.0074311,0.012104,1,0.017,-0.983,1,0
0.99445,1.0074,-0.023326,-0.0075844,0.011843,1,0.018,-0.982,1,0
0.99459,1.0072,-0.023265,-0.0077378,0.011581,1,0.019,-0.981,1,0
0.99472,1.007,-0.023204,-0.0078911,0.011319,1,0.02,-0.98,1,0
0.99485,1.0068,-0.023142,-0.0080445,0.011057,1,0.021,-0.979,1,0
0.99498,1.0066,-0.023081,-0.0081978,0.010796,1,0.022,-0.978,1,0
0.99512,1.0064,-0.02302,-0.0083512,0.010534,1,0.023,-0.977,1,0
0.99525,1.0061,-0.022959,-0.0085045,0.010272,1,0.024,-0.976,1,0
0.99538,1.0059,-0.022898,-0.0086579,0.010011,1,0.025,-0.975,1,0
0.99552,1.0057,-0.022837,-0.0088112,0.0097489,1,0.026,-0.974,1,0
0.99565,1.0055,-0.022776,-0.0089646,0.0094871,1,0.027,-0.973,1,0
0.99578,1.0053,-0.022714,-0.0091179,0.0092254,1,0.028,-0.972,1,0
0.99591,1.0051,-0.022653,-0.0092713,0.0089637,1,0.029,-0.971,1,0
0.99605,1.0049,-0.022592,-0.0094246,0.008702,1,0.03,-0.97,1,0
0.99618,1.0047,-0.022531,-0.009578,0.0084403,1,0.031,-0.969,1,0
0.99631,1.0045,-0.02247,-0.0097313,0.0081786,1,0.032,-0.968,1,0
0.99645,1.0043,-0.022409,-0.0098847,0.0079169,1,0.033,-0.967,1,0
0.99658,1.0041,-0.022347,-0.010038,0.0076552,1,0.034,-0.966,1,0
0.99671,1.0039,-0.022286,-0.010191,0.0073934,1,0.035,-0.965,1,0
0.99684,1.0037,-0.022225,-0.010345,0.0071317,1,0.036,-0.964,1,0
0.99698,1.0034,-0.022164,-0.010498,0.00687,1,0.037,-0.963,1,0
0.99711,1.0032,-0.022103,-0.010651,0.0066083,1,0.038,-0.962,1,0
0.99724,1.003,-0.022042,-0.010805,0.0063466,1,0.039,-0.961,1,0
0.99738,1.0028,-0.021981,-0.010958,0.0060849,1,0.04,-0.96,1,0
0.99751,1.0026,-0.021919,-0.011111,0.0058231,1,0.041,-0.959,1,0
0.99764,1.0024,-0.021858,-0.011265,0.0055614,1,0.042,-0.958,1,0
0.99777,1.0022,-0.021797,-0.011418,0.0052997,1,0.043,-0.957,1,0
0.99791,1.002,-0.021736,-0.011571,0.005038,1,0.044,-0.956,1,0
0.99804,1.0018,-0.021675,-0.011725,0.0047763,1,0.045,-0.955,1,0
0.99817,1.0016,-0.021614,-0.011878,0.0045146,1,0.046,-0.954,1,0
0.99831,1.0014,-0.021552,-0.012032,0.0042529,1,0.047,-0.953,1,0
0.99844,1.0012,-0.021491,-0.012185,0.0039912,1,0.048,-0.952,1,0
0.99857,1.001,-0.02143,-0.012338,0.0037294,1,0.049,-0.951,1,0
0.9987,1.0007,-0.021369,-0.012492,0.0034677,1,0.05,-0.95,1,0
0.99884,1.0005,-0.021308,-0.012645,0.003206,1,0.051,-0.949,1,0
0.99897,1.0003,-0.021247,-0.012798,0.0029443,1,0.052,-0.948,1,0
0.9991,1.0001,-0.021186,-0.012952,0.0026826,1,0.053,-0.947,1,0
0.99924,0.99991,-0.021124,-0.013105,0.0024209,1,0.054,-0.946,1,0
0.99937,0.9997,-0.021063,-0.013258,0.0021592,1,0.055,-0.945,1,0
0.9995,0.9995,-0.021002,-0.013412,0.0018974,1,0.056,-0.944,1,0
0.99963,0.99929,-0.020941,-0.013565,0.0016357,1,0.057,-0.943,1,0
0.99977,0.99908,-0.02088,-0.013718,0.001374,1,0.058,-0.942,1,0
0.9999,0.99887,-0.020819,-0.013872,0.0011123,1,0.059,-0.941,1,0
1,0.99866,-0.020757,-0.014025,0.00085059,1,0.06,-0.94,1,0
1.0002,0.99846,-0.020696,-0.014178,0.00058888,1,0.061,-0.939,1,0
1.0003,0.99825,-0.020635,-0.014332,0.00032716,1,0.062,-0.938,1,0
1.0004,0.99804,-0.020574,-0.014485,6.5438e-05,1,0.063,-0.937,1,0
1.0006,0.99783,-0.020513,-0.014638,-0.00019627,1,0.064,-0.936,1,0
1.0007,0.99762,-0.020452,-0.014792,-0.00045798,1,0.065,-0.935,1,0
1.0008,0.99742,-0.020391,-0.014945,-0.00071969,1,0.066,-0.934,1,0
1.001,0.99721,-0.020329,-0.015098,-0.0009814,1,0.067,-0.933,1,0
1.0011,0.997,-0.020268,-0.015252,-0.0012431,1,0.068,-0.932,1,0
1.0012,0.99679,-0.020207,-0.015405,-0.0015048,1,0.069,-0.931,1,0
1.0014,0.99659,-0.020146,-0.015559,-0.0017666,1,0.07,-0.93,1,0
1.0015,0.99638,-0.020085,-0.015712,-0.0020283,1,0.071,-0.929,1,0
1.0016,0.99617,-0.020024,-0.015865,-0.00229,1,0.072,-0.928,1,0
1.0018,0.99596,-0.019962,-0.016019,-0.0025517,1,0.073,-0.927,1,0
1.0019,0.99575,-0.019901,-0.016172,-0.0028134,1,0.074,-0.926,1,0
1.002,0.99555,-0.01984,-0.016325,-0.0030751,1,0.075,-0.925,1,0
1.0022,0.99534,-0.019779,-0.016479,-0.0033368,1,0.076,-0.924,1,0
1.0023,0.99513,-0.019718,-0.016632,-0.0035986,1,0.077,-0.923,1,0
1.0024,0.99492,-0.019657,-0.016785,-0.0038603,1,0.078,-0.922,1,0
1.0026,0.99471,-0.019596,-0.016939,-0.004122,1,0.079,-0.921,1,0
1.0027,0.99451,-0.019534,-0.017092,-0.0043837,1,0.08,-0.92,1,0
1.0028,0.9943,-0.019473,-0.017245,-0.0046454,1,0.081,-0.919,1,0
1.003,0.99409,-0.019412,-0.017399,-0.0049071,1,0.082,-0.918,1,0
1.0031,0.99388,-0.019351,-0.017552,-0.0051688,1,0.083,-0.917,1,0
1.0032,0.99368,-0.01929,-0.017705,-0.0054305,1,0.084,-0.916,1,0
1.0034,0.99347,-0.019229,-0.017859,-0.0056923,1,0.085,-0.915,1,0
1.0035,0.99326,-0.019167,-0.018012,-0.005954,1,0.086,-0.914,1,0
1.0036,0.99305,-0.019106,-0.018165,-0.0062157,1,0.087,-0.913,1,0
1.0038,0.99284,-0.019045,-0.018319,-0.0064774,1,0.088,-0.912,1,0
1.0039,0.99264,-0.018984,-0.018472,-0.0067391,1,0.089,-0.911,1,0
1.004,0.99243,-0.018923,-0.018625,-0.0070008,1,0.09,-0.91,1,0
1.0042,0.99222,-0.018862,-0.018779,-0.0072626,1,0.091,-0.909,1,0
1.0043,0.99201,-0.018801,-0.018932,-0.0075243,1,0.092,-0.908,1,0
1.0044,0.9918,-0.018739,-0.019086,-0.007786,1,0.093,-0.907,1,0
1.0046,0.9916,-0.018678,-0.019239,-0.0080477,1,0.094,-0.906,1,0
1.0047,0.99139,-0.018617,-0.019392,-0.0083094,1,0.095,-0.905,1,0
1.0048,0.99118,-0.018556,-0.019546,-0.0085711,1,0.096,-0.904,1,0
1.0049,0.99097,-0.018495,-0.019699,-0.0088328,1,0.097,-0.903,1,0
1.0051,0.99077,-0.018434,-0.019852,-0.0090945,1,0.098,-0.902,1,0
1.0052,0.99056,-0.018372,-0.020006,-0.0093563,1,0.099,-0.901,1,0
1.0053,0.99035,-0.018311,-0.020159,-0.009618,1,0.1,-0.9,1,0
1.0055,0.99014,-0.01825,-0.020312,-0.0098797,1,0.101,-0.899,1,0
1.0056,0.98993,-0.018189,-0.020466,-0.010141,1,0.102,-0.898,1,0
1.0057,0.98973,-0.018128,-0.020619,-0.010403,1,0.103,-0.897,1,0
