"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99497,0.00029033,2.5011,3.0246e-05,-6.1726e-05,1,0,0,0.2,0
0.99504,0.00030377,2.5011,2.9977e-05,-6.0422e-05,1,0.001,0.001,0.2,0
0.9951,0.0003172,2.5011,2.9708e-05,-5.9117e-05,1,0.002,0.002,0.2,0
0.99517,0.00033064,2.5011,2.9439e-05,-5.7812e-05,1,0.003,0.003,0.2,0
0.99524,0.00034408,2.5011,2.917e-05,-5.6507e-05,1,0.004,0.004,0.2,0
0.9953,0.00035751,2.501,2.8901e-05,-5.5202e-05,1,0.005,0.005,0.2,0
0.99537,0.00037095,2.501,2.8633e-05,-5.3897e-05,1,0.006,0.006,0.2,0
0.99544,0.00038439,2.501,2.8364e-05,-5.2593e-05,1,0.007,0.007,0.2,0
0.9955,0.00039782,2.501,2.8095e-05,-5.1288e-05,1,0.008,0.008,0.2,0
0.99557,0.00041126,2.501,2.7826e-05,-4.9983e-05,1,0.009,0.009,0.2,0
0.99563,0.0004247,2.5009,2.7557e-05,-4.8678e-05,1,0.01,0.01,0.2,0
0.9957,0.00043813,2.5009,2.7288e-05,-4.7373e-05,1,0.011,0.011,0.2,0
0.99577,0.00045157,2.5009,2.702e-05,-4.6069e-05,1,0.012,0.012,0.2,0
0.99583,0.00046501,2.5009,2.6751e-05,-4.4764e-05,1,0.013,0.013,0.2,0
0.9959,0.00047845,2.5009,2.6482e-05,-4.3459e-05,1,0.014,0.014,0.2,0
0.99597,0.00049188,2.5008,2.6213e-05,-4.2154e-05,1,0.015,0.015,0.2,0
0.99603,0.00050532,2.5008,2.5944e-05,-4.0849e-05,1,0.016,0.016,0.2,0
0.9961,0.00051876,2.5008,2.5675e-05,-3.9545e-05,1,0.017,0.017,0.2,0
0.99617,0.00053219,2.5008,2.5406e-05,-3.824e-05,1,0.018,0.018,0.2,0
0.99623,0.00054563,2.5007,2.5138e-05,-3.6935e-05,1,0.019,0.019,0.2,0
0.9963,0.00055907,2.5007,2.4869e-05,-3.563e-05,1,0.02,0.02,0.2,0
0.99637,0.0005725,2.5007,2.46e-05,-3.4325e-05,1,0.021,0.021,0.2,0
0.99643,0.00058594,2.5007,2.4331e-05,-3.3021e-05,1,0.022,0.022,0.2,0
0.9965,0.00059938,2.5007,2.4062e-05,-3.1716e-05,1,0.023,0.023,0.2,0
0.99656,0.00061281,2.5006,2.3793e-05,-3.0411e-05,1,0.024,0.024,0.2,0
0.99663,0.00062625,2.5006,2.3524e-05,-2.9106e-05,1,0.025,0.025,0.2,0
0.9967,0.00063969,2.5006,2.3256e-05,-2.7801e-05,1,0.026,0.026,0.2,0
0.99676,0.00065313,2.5006,2.2987e-05,-2.6496e-05,1,0.027,0.027,0.2,0
0.99683,0.00066656,2.5006,2.2718e-05,-2.5192e-05,1,0.028,0.028,0.2,0
0.9969,0.00068,2.5005,2.2449e-05,-2.3887e-05,1,0.029,0.029,0.2,0
0.99696,0.00069344,2.5005,2.218e-05,-2.2582e-05,1,0.03,0.03,0.2,0
0.99703,0.00070687,2.5005,2.1911e-05,-2.1277e-05,1,0.031,0.031,0.2,0
0.9971,0.00072031,2.5005,2.1642e-05,-1.9972e-05,1,0.032,0.032,0.2,0
0.99716,0.00073375,2.5005,2.1374e-05,-1.8668e-05,1,0.033,0.033,0.2,0
0.99723,0.00074718,2.5004,2.1105e-05,-1.7363e-05,1,0.034,0.034,0.2,0
0.9973,0.00076062,2.5004,2.0836e-05,-1.6058e-05,1,0.035,0.035,0.2,0
0.99736,0.00077406,2.5004,2.0567e-05,-1.4753e-05,1,0.036,0.036,0.2,0
0.99743,0.00078749,2.5004,2.0298e-05,-1.3448e-05,1,0.037,0.037,0.2,0
0.99749,0.00080093,2.5004,2.0029e-05,-1.2144e-05,1,0.038,0.038,0.2,0
