"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-1.9042e-08,2.5,-6.3426e-11,-1.0632e-10,1,0,0,0.2,0
1,-1.8585e-08,2.5,-6.1286e-11,-1.0165e-10,1,0.001,0.001,0.2,0
1,-1.8129e-08,2.5,-5.9147e-11,-9.6985e-11,1,0.002,0.002,0.2,0
1,-1.7672e-08,2.5,-5.7008e-11,-9.2315e-11,1,0.003,0.003,0.2,0
1,-1.7216e-08,2.5,-5.4869e-11,-8.7645e-11,1,0.004,0.004,0.2,0
1,-1.676e-08,2.5,-5.273e-11,-8.2975e-11,1,0.005,0.005,0.2,0
1,-1.6303e-08,2.5,-5.0591e-11,-7.8305e-11,1,0.006,0.006,0.2,0
1,-1.5847e-08,2.5,-4.8451e-11,-7.3636e-11,1,0.007,0.007,0.2,0
1,-1.539e-08,2.5,-4.6312e-11,-6.8966e-11,1,0.008,0.008,0.2,0
1,-1.4934e-08,2.5,-4.4173e-11,-6.4296e-11,1,0.009,0.009,0.2,0
1,-1.4478e-08,2.5,-4.2034e-11,-5.9626e-11,1,0.01,0.01,0.2,0
1,-1.4021e-08,2.5,-3.9895e-11,-5.4956e-11,1,0.011,0.011,0.2,0
1,-1.3565e-08,2.5,-3.7756e-11,-5.0286e-11,1,0.012,0.012,0.2,0
1,-1.3108e-08,2.5,-3.5617e-11,-4.5616e-11,1,0.013,0.013,0.2,0
1,-1.2652e-08,2.5,-3.3477e-11,-4.0946e-11,1,0.014,0.014,0.2,0
1,-1.2196e-08,2.5,-3.1338e-11,-3.6277e-11,1,0.015,0.015,0.2,0
1,-1.1739e-08,2.5,-2.9199e-11,-3.1607e-11,1,0.016,0.016,0.2,0
1,-1.1283e-08,2.5,-2.706e-11,-2.6937e-11,1,0.017,0.017,0.2,0
1,-1.0826e-08,2.5,-2.4921e-11,-2.2267e-11,1,0.018,0.018,0.2,0
1,-1.037e-08,2.5,-2.2782e-11,-1.7597e-11,1,0.019,0.019,0.2,0
1,-9.9136e-09,2.5,-2.0643e-11,-1.2927e-11,1,0.02,0.02,0.2,0
1,-9.4572e-09,2.5,-1.8503e-11,-8.2573e-12,1,0.021,0.021,0.2,0
1,-9.0008e-09,2.5,-1.6364e-11,-3.5874e-12,1,0.022,0.022,0.2,0
1,-8.5444e-09,2.5,-1.4225e-11,1.0824e-12,1,0.023,0.023,0.2,0
1,-8.088e-09,2.5,-1.2086e-11,5.7523e-12,1,0.024,0.024,0.2,0
1,-7.6316e-09,2.5,-9.9468e-12,1.0422e-11,1,0.025,0.025,0.2,0
1,-7.1753e-09,2.5,-7.8077e-12,1.5092e-11,1,0.026,0.026,0.2,0
1,-6.7189e-09,2.5,-5.6685e-12,1.9762e-11,1,0.027,0.027,0.2,0
1,-6.2625e-09,2.5,-3.5294e-12,2.4432e-11,1,0.028,0.028,0.2,0
1,-5.8061e-09,2.5,-1.3902e-12,2.9102e-11,1,0.029,0.029,0.2,0
1,-5.3497e-09,2.5,7.4892e-13,3.3772e-11,1,0.03,0.03,0.2,0
