"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,6.3122e-07,1,1,0,0,0.2,0
1,6.2722e-07,1,1,0.0001,0.0001,0.2,0
1,6.2322e-07,1,1,0.0002,0.0002,0.2,0
1,6.1921e-07,1,1,0.0003,0.0003,0.2,0
1,6.1521e-07,1,1,0.0004,0.0004,0.2,0
1,6.1121e-07,1,1,0.0005,0.0005,0.2,0
1,6.0721e-07,1,1,0.0006,0.0006,0.2,0
1,6.032e-07,1,1,0.0007,0.0007,0.2,0
1,5.992e-07,1,1,0.0008,0.0008,0.2,0
1,5.952e-07,1,1,0.0009,0.0009,0.2,0
1,5.912e-07,1,1,0.001,0.001,0.2,0
1,5.8719e-07,1,1,0.0011,0.0011,0.2,0
1,5.8319e-07,1,1,0.0012,0.0012,0.2,0
1,5.7919e-07,1,1,0.0013,0.0013,0.2,0
1,5.7519e-07,1,1,0.0014,0.0014,0.2,0
1,5.7118e-07,1,1,0.0015,0.0015,0.2,0
1,5.6718e-07,1,1,0.0016,0.0016,0.2,0
1,5.6318e-07,1,1,0.0017,0.0017,0.2,0
1,5.5918e-07,1,1,0.0018,0.0018,0.2,0
1,5.5517e-07,1,1,0.0019,0.0019,0.2,0
1,5.5117e-07,1,1,0.002,0.002,0.2,0
1,5.4717e-07,1,1,0.0021,0.0021,0.2,0
1,5.4317e-07,1,1,0.0022,0.0022,0.2,0
1,5.3916e-07,1,1,0.0023,0.0023,0.2,0
1,5.3516e-07,1,1,0.0024,0.0024,0.2,0
1,5.3116e-07,1,1,0.0025,0.0025,0.2,0
1,5.2716e-07,1,1,0.0026,0.0026,0.2,0
1,5.2315e-07,1,1,0.0027,0.0027,0.2,0
1,5.1915e-07,1,1,0.0028,0.0028,0.2,0
1,5.1515e-07,1,1,0.0029,0.0029,0.2,0
1,5.1115e-07,1,1,0.003,0.003,0.2,0
1,5.0714e-07,1,1,0.0031,0.0031,0.2,0
1,5.0314e-07,1,1,0.0032,0.0032,0.2,0
1,4.9914e-07,1,1,0.0033,0.0033,0.2,0
1,4.9514e-07,1,1,0.0034,0.0034,0.2,0
1,4.9114e-07,1,1,0.0035,0.0035,0.2,0
1,4.8713e-07,1,1,0.0036,0.0036,0.2,0
1,4.8313e-07,1,1,0.0037,0.0037,0.2,0
1,4.7913e-07,1,1,0.0038,0.0038,0.2,0
1,4.7513e-07,1,1,0.0039,0.0039,0.2,0
1,4.7112e-07,1,1,0.004,0.004,0.2,0
1,4.6712e-07,1,1,0.0041,0.0041,0.2,0
1,4.6312e-07,1,1,0.0042,0.0042,0.2,0
1,4.5912e-07,1,1,0.0043,0.0043,0.2,0
1,4.5511e-07,1,1,0.0044,0.0044,0.2,0
1,4.5111e-07,1,1,0.0045,0.0045,0.2,0
1,4.4711e-07,1,1,0.0046,0.0046,0.2,0
1,4.4311e-07,1,1,0.0047,0.0047,0.2,0
1,4.391e-07,1,1,0.0048,0.0048,0.2,0
1,4.351e-07,1,1,0.0049,0.0049,0.2,0
1,4.311e-07,1,1,0.005,0.005,0.2,0
1,4.271e-07,1,1,0.0051,0.0051,0.2,0
1,4.2309e-07,1,1,0.0052,0.0052,0.2,0
1,4.1909e-07,1,1,0.0053,0.0053,0.2,0
1,4.1509e-07,1,1,0.0054,0.0054,0.2,0
1,4.1109e-07,1,1,0.0055,0.0055,0.2,0
1,4.0708e-07,1,1,0.0056,0.0056,0.2,0
1,4.0308e-07,1,1,0.0057,0.0057,0.2,0
1,3.9908e-07,1,1,0.0058,0.0058,0.2,0
1,3.9508e-07,1,1,0.0059,0.0059,0.2,0
1,3.9107e-07,1,1,0.006,0.006,0.2,0
1,3.8707e-07,1,1,0.0061,0.0061,0.2,0
1,3.8307e-07,1,1,0.0062,0.0062,0.2,0
1,3.7907e-07,1,1,0.0063,0.0063,0.2,0
1,3.7506e-07,1,1,0.0064,0.0064,0.2,0
1,3.7106e-07,1,1,0.0065,0.0065,0.2,0
1,3.6706e-07,1,1,0.0066,0.0066,0.2,0
1,3.6306e-07,1,1,0.0067,0.0067,0.2,0
1,3.5905e-07,1,1,0.0068,0.0068,0.2,0
1,3.5505e-07,1,1,0.0069,0.0069,0.2,0
1,3.5105e-07,1,1,0.007,0.007,0.2,0
1,3.4705e-07,1,1,0.0071,0.0071,0.2,0
1,3.4304e-07,1,1,0.0072,0.0072,0.2,0
1,3.3904e-07,1,1,0.0073,0.0073,0.2,0
1,3.3504e-07,1,1,0.0074,0.0074,0.2,0
1,3.3104e-07,1,1,0.0075,0.0075,0.2,0
1,3.2703e-07,1,1,0.0076,0.0076,0.2,0
1,3.2303e-07,1,1,0.0077,0.0077,0.2,0
1,3.1903e-07,1,1,0.0078,0.0078,0.2,0
1,3.1503e-07,1,1,0.0079,0.0079,0.2,0
1,3.1103e-07,1,1,0.008,0.008,0.2,0
1,3.0702e-07,1,1,0.0081,0.0081,0.2,0
1,3.0302e-07,1,1,0.0082,0.0082,0.2,0
1,2.9902e-07,1,1,0.0083,0.0083,0.2,0
1,2.9502e-07,1,1,0.0084,0.0084,0.2,0
1,2.9101e-07,1,1,0.0085,0.0085,0.2,0
1,2.8701e-07,1,1,0.0086,0.0086,0.2,0
1,2.8301e-07,1,1,0.0087,0.0087,0.2,0
1,2.7901e-07,1,1,0.0088,0.0088,0.2,0
1,2.75e-07,1,1,0.0089,0.0089,0.2,0
1,2.71e-07,1,1,0.009,0.009,0.2,0
1,2.67e-07,1,1,0.0091,0.0091,0.2,0
1,2.63e-07,1,1,0.0092,0.0092,0.2,0
1,2.5899e-07,1,1,0.0093,0.0093,0.2,0
1,2.5499e-07,1,1,0.0094,0.0094,0.2,0
1,2.5099e-07,1,1,0.0095,0.0095,0.2,0
1,2.4699e-07,1,1,0.0096,0.0096,0.2,0
1,2.4298e-07,1,1,0.0097,0.0097,0.2,0
1,2.3898e-07,1,1,0.0098,0.0098,0.2,0
1,2.3498e-07,1,1,0.0099,0.0099,0.2,0
1,2.3098e-07,1,1,0.01,0.01,0.2,0
1,2.2697e-07,1,1,0.0101,0.0101,0.2,0
1,2.2297e-07,1,1,0.0102,0.0102,0.2,0
1,2.1897e-07,1,1,0.0103,0.0103,0.2,0
1,2.1497e-07,1,1,0.0104,0.0104,0.2,0
1,2.1096e-07,1,1,0.0105,0.0105,0.2,0
1,2.0696e-07,1,1,0.0106,0.0106,0.2,0
1,2.0296e-07,1,1,0.0107,0.0107,0.2,0
1,1.9896e-07,1,1,0.0108,0.0108,0.2,0
1,1.9495e-07,1,1,0.0109,0.0109,0.2,0
1,1.9095e-07,1,1,0.011,0.011,0.2,0
1,1.8695e-07,1,1,0.0111,0.0111,0.2,0
1,1.8295e-07,1,1,0.0112,0.0112,0.2,0
1,1.7894e-07,1,1,0.0113,0.0113,0.2,0
1,1.7494e-07,1,1,0.0114,0.0114,0.2,0
1,1.7094e-07,1,1,0.0115,0.0115,0.2,0
1,1.6694e-07,1,1,0.0116,0.0116,0.2,0
1,1.6293e-07,1,1,0.0117,0.0117,0.2,0
1,1.5893e-07,1,1,0.0118,0.0118,0.2,0
1,1.5493e-07,1,1,0.0119,0.0119,0.2,0
1,1.5093e-07,1,1,0.012,0.012,0.2,0
1,1.4692e-07,1,1,0.0121,0.0121,0.2,0
1,1.4292e-07,1,1,0.0122,0.0122,0.2,0
1,1.3892e-07,1,1,0.0123,0.0123,0.2,0
1,1.3492e-07,1,1,0.0124,0.0124,0.2,0
1,1.3092e-07,1,1,0.0125,0.0125,0.2,0
1,1.2691e-07,1,1,0.0126,0.0126,0.2,0
1,1.2291e-07,1,1,0.0127,0.0127,0.2,0
1,1.1891e-07,1,1,0.0128,0.0128,0.2,0
1,1.1491e-07,1,1,0.0129,0.0129,0.2,0
1,1.109e-07,1,1,0.013,0.013,0.2,0
1,1.069e-07,1,1,0.0131,0.0131,0.2,0
1,1.029e-07,1,1,0.0132,0.0132,0.2,0
1,9.8896e-08,1,1,0.0133,0.0133,0.2,0
1,9.4893e-08,1,1,0.0134,0.0134,0.2,0
1,9.0891e-08,1,1,0.0135,0.0135,0.2,0
1,8.6888e-08,1,1,0.0136,0.0136,0.2,0
1,8.2886e-08,1,1,0.0137,0.0137,0.2,0
1,7.8883e-08,1,1,0.0138,0.0138,0.2,0
1,7.4881e-08,1,1,0.0139,0.0139,0.2,0
1,7.0879e-08,1,1,0.014,0.014,0.2,0
1,6.6876e-08,1,1,0.0141,0.0141,0.2,0
1,6.2874e-08,1,1,0.0142,0.0142,0.2,0
1,5.8871e-08,1,1,0.0143,0.0143,0.2,0
1,5.4869e-08,1,1,0.0144,0.0144,0.2,0
1,5.0866e-08,1,1,0.0145,0.0145,0.2,0
1,4.6864e-08,1,1,0.0146,0.0146,0.2,0
1,4.2861e-08,1,1,0.0147,0.0147,0.2,0
1,3.8859e-08,1,1,0.0148,0.0148,0.2,0
1,3.4857e-08,1,1,0.0149,0.0149,0.2,0
1,3.0854e-08,1,1,0.015,0.015,0.2,0
1,2.6852e-08,1,1,0.0151,0.0151,0.2,0
1,2.2849e-08,1,1,0.0152,0.0152,0.2,0
1,1.8847e-08,1,1,0.0153,0.0153,0.2,0
1,1.4844e-08,1,1,0.0154,0.0154,0.2,0
1,1.0842e-08,1,1,0.0155,0.0155,0.2,0
1,6.8395e-09,1,1,0.0156,0.0156,0.2,0
1,2.837e-09,1,1,0.0157,0.0157,0.2,0
1,-1.1654e-09,1,1,0.0158,0.0158,0.2,0
1,-5.1679e-09,1,1,0.0159,0.0159,0.2,0
1,-9.1704e-09,1,1,0.016,0.016,0.2,0
1,-1.3173e-08,1,1,0.0161,0.0161,0.2,0
1,-1.7175e-08,1,1,0.0162,0.0162,0.2,0
1,-2.1178e-08,1,1,0.0163,0.0163,0.2,0
1,-2.518e-08,1,1,0.0164,0.0164,0.2,0
1,-2.9183e-08,1,1,0.0165,0.0165,0.2,0
1,-3.3185e-08,1,1,0.0166,0.0166,0.2,0
1,-3.7187e-08,1,1,0.0167,0.0167,0.2,0
1,-4.119e-08,1,1,0.0168,0.0168,0.2,0
1,-4.5192e-08,1,1,0.0169,0.0169,0.2,0
1,-4.9195e-08,1,1,0.017,0.017,0.2,0
1,-5.3197e-08,1,1,0.0171,0.0171,0.2,0
1,-5.72e-08,1,1,0.0172,0.0172,0.2,0
1,-6.1202e-08,1,1,0.0173,0.0173,0.2,0
1,-6.5205e-08,1,1,0.0174,0.0174,0.2,0
1,-6.9207e-08,1,1,0.0175,0.0175,0.2,0
1,-7.3209e-08,1,1,0.0176,0.0176,0.2,0
1,-7.7212e-08,1,1,0.0177,0.0177,0.2,0
1,-8.1214e-08,1,1,0.0178,0.0178,0.2,0
1,-8.4576e-08,1,1,0.0179,0.0179,0.2,0
1,-8.7084e-08,1,1,0.018,0.018,0.2,0
1,-8.9593e-08,1,1,0.0181,0.0181,0.2,0
1,-9.2101e-08,1,1,0.0182,0.0182,0.2,0
1,-9.4609e-08,1,1,0.0183,0.0183,0.2,0
1,-9.7117e-08,1,1,0.0184,0.0184,0.2,0
1,-9.9625e-08,1,1,0.0185,0.0185,0.2,0
1,-1.0213e-07,1,1,0.0186,0.0186,0.2,0
1,-1.0464e-07,1,1,0.0187,0.0187,0.2,0
1,-1.0715e-07,1,1,0.0188,0.0188,0.2,0
1,-1.0966e-07,1,1,0.0189,0.0189,0.2,0
1,-1.1217e-07,1,1,0.019,0.019,0.2,0
1,-1.1467e-07,1,1,0.0191,0.0191,0.2,0
1,-1.1718e-07,1,1,0.0192,0.0192,0.2,0
1,-1.1969e-07,1,1,0.0193,0.0193,0.2,0
1,-1.222e-07,1,1,0.0194,0.0194,0.2,0
1,-1.2471e-07,1,1,0.0195,0.0195,0.2,0
1,-1.2721e-07,1,1,0.0196,0.0196,0.2,0
1,-1.2972e-07,1,1,0.0197,0.0197,0.2,0
1,-1.3223e-07,1,1,0.0198,0.0198,0.2,0
1,-1.3474e-07,1,1,0.0199,0.0199,0.2,0
1,-1.3725e-07,1,1,0.02,0.02,0.2,0
1,-1.3976e-07,1,1,0.0201,0.0201,0.2,0
1,-1.4226e-07,1,1,0.0202,0.0202,0.2,0
1,-1.4477e-07,1,1,0.0203,0.0203,0.2,0
1,-1.4728e-07,1,1,0.0204,0.0204,0.2,0
1,-1.4979e-07,1,1,0.0205,0.0205,0.2,0
1,-1.523e-07,1,1,0.0206,0.0206,0.2,0
1,-1.548e-07,1,1,0.0207,0.0207,0.2,0
1,-1.5731e-07,1,1,0.0208,0.0208,0.2,0
1,-1.5982e-07,1,1,0.0209,0.0209,0.2,0
1,-1.6233e-07,1,1,0.021,0.021,0.2,0
1,-1.6484e-07,1,1,0.0211,0.0211,0.2,0
1,-1.6734e-07,1,1,0.0212,0.0212,0.2,0
1,-1.6985e-07,1,1,0.0213,0.0213,0.2,0
1,-1.7236e-07,1,1,0.0214,0.0214,0.2,0
1,-1.7487e-07,1,1,0.0215,0.0215,0.2,0
1,-1.7738e-07,1,1,0.0216,0.0216,0.2,0
1,-1.7989e-07,1,1,0.0217,0.0217,0.2,0
1,-1.8239e-07,1,1,0.0218,0.0218,0.2,0
1,-1.849e-07,1,1,0.0219,0.0219,0.2,0
1,-1.8741e-07,1,1,0.022,0.022,0.2,0
1,-1.8992e-07,1,1,0.0221,0.0221,0.2,0
1,-1.9243e-07,1,1,0.0222,0.0222,0.2,0
1,-1.9493e-07,1,1,0.0223,0.0223,0.2,0
1,-1.9744e-07,1,1,0.0224,0.0224,0.2,0
1,-1.9995e-07,1,1,0.0225,0.0225,0.2,0
1,-2.0246e-07,1,1,0.0226,0.0226,0.2,0
1,-2.0497e-07,1,1,0.0227,0.0227,0.2,0
1,-2.0747e-07,1,1,0.0228,0.0228,0.2,0
1,-2.0998e-07,1,1,0.0229,0.0229,0.2,0
1,-2.1249e-07,1,1,0.023,0.023,0.2,0
1,-2.15e-07,1,1,0.0231,0.0231,0.2,0
1,-2.1751e-07,1,1,0.0232,0.0232,0.2,0
1,-2.2002e-07,1,1,0.0233,0.0233,0.2,0
1,-2.2252e-07,1,1,0.0234,0.0234,0.2,0
1,-2.2503e-07,1,1,0.0235,0.0235,0.2,0
1,-2.2754e-07,1,1,0.0236,0.0236,0.2,0
1,-2.3005e-07,1,1,0.0237,0.0237,0.2,0
1,-2.3256e-07,1,1,0.0238,0.0238,0.2,0
1,-2.3506e-07,1,1,0.0239,0.0239,0.2,0
1,-2.3757e-07,1,1,0.024,0.024,0.2,0
1,-2.4008e-07,1,1,0.0241,0.0241,0.2,0
1,-2.4259e-07,1,1,0.0242,0.0242,0.2,0
1,-2.451e-07,1,1,0.0243,0.0243,0.2,0
1,-2.476e-07,1,1,0.0244,0.0244,0.2,0
1,-2.5011e-07,1,1,0.0245,0.0245,0.2,0
1,-2.5262e-07,1,1,0.0246,0.0246,0.2,0
1,-2.5513e-07,1,1,0.0247,0.0247,0.2,0
1,-2.5764e-07,1,1,0.0248,0.0248,0.2,0
1,-2.6015e-07,1,1,0.0249,0.0249,0.2,0
1,-2.6265e-07,1,1,0.025,0.025,0.2,0
1,-2.6516e-07,1,1,0.0251,0.0251,0.2,0
1,-2.6767e-07,1,1,0.0252,0.0252,0.2,0
1,-2.7018e-07,1,1,0.0253,0.0253,0.2,0
1,-2.7269e-07,1,1,0.0254,0.0254,0.2,0
1,-2.7519e-07,1,1,0.0255,0.0255,0.2,0
1,-2.777e-07,1,1,0.0256,0.0256,0.2,0
1,-2.8021e-07,1,1,0.0257,0.0257,0.2,0
1,-2.8272e-07,1,1,0.0258,0.0258,0.2,0
1,-2.8523e-07,1,1,0.0259,0.0259,0.2,0
1,-2.8774e-07,1,1,0.026,0.026,0.2,0
1,-2.9024e-07,1,1,0.0261,0.0261,0.2,0
1,-2.9275e-07,1,1,0.0262,0.0262,0.2,0
1,-2.9526e-07,1,1,0.0263,0.0263,0.2,0
1,-2.9777e-07,1,1,0.0264,0.0264,0.2,0
1,-3.0028e-07,1,1,0.0265,0.0265,0.2,0
1,-3.0278e-07,1,1,0.0266,0.0266,0.2,0
1,-3.0529e-07,1,1,0.0267,0.0267,0.2,0
1,-3.078e-07,1,1,0.0268,0.0268,0.2,0
1,-3.1031e-07,1,1,0.0269,0.0269,0.2,0
1,-3.1282e-07,1,1,0.027,0.027,0.2,0
1,-3.1532e-07,1,1,0.0271,0.0271,0.2,0
1,-3.1783e-07,1,1,0.0272,0.0272,0.2,0
1,-3.2034e-07,1,1,0.0273,0.0273,0.2,0
1,-3.2285e-07,1,1,0.0274,0.0274,0.2,0
1,-3.2536e-07,1,1,0.0275,0.0275,0.2,0
1,-3.2787e-07,1,1,0.0276,0.0276,0.2,0
1,-3.3037e-07,1,1,0.0277,0.0277,0.2,0
1,-3.3288e-07,1,1,0.0278,0.0278,0.2,0
1,-3.3539e-07,1,1,0.0279,0.0279,0.2,0
1,-3.379e-07,1,1,0.028,0.028,0.2,0
1,-3.4041e-07,1,1,0.0281,0.0281,0.2,0
1,-3.4291e-07,1,1,0.0282,0.0282,0.2,0
1,-3.4542e-07,1,1,0.0283,0.0283,0.2,0
1,-3.4793e-07,1,1,0.0284,0.0284,0.2,0
1,-3.5044e-07,1,1,0.0285,0.0285,0.2,0
1,-3.5295e-07,1,1,0.0286,0.0286,0.2,0
1,-3.5545e-07,1,1,0.0287,0.0287,0.2,0
1,-3.5796e-07,1,1,0.0288,0.0288,0.2,0
1,-3.6047e-07,1,1,0.0289,0.0289,0.2,0
1,-3.6298e-07,1,1,0.029,0.029,0.2,0
1,-3.6549e-07,1,1,0.0291,0.0291,0.2,0
1,-3.68e-07,1,1,0.0292,0.0292,0.2,0
1,-3.705e-07,1,1,0.0293,0.0293,0.2,0
1,-3.7301e-07,1,1,0.0294,0.0294,0.2,0
1,-3.7552e-07,1,1,0.0295,0.0295,0.2,0
1,-3.7803e-07,1,1,0.0296,0.0296,0.2,0
1,-3.8054e-07,1,1,0.0297,0.0297,0.2,0
1,-3.8304e-07,1,1,0.0298,0.0298,0.2,0
1,-3.8555e-07,1,1,0.0299,0.0299,0.2,0
1,-3.8806e-07,1,1,0.03,0.03,0.2,0
1,-3.9057e-07,1,1,0.0301,0.0301,0.2,0
1,-3.9308e-07,1,1,0.0302,0.0302,0.2,0
1,-3.9558e-07,1,1,0.0303,0.0303,0.2,0
1,-3.9809e-07,1,1,0.0304,0.0304,0.2,0
1,-4.006e-07,1,1,0.0305,0.0305,0.2,0
1,-4.0311e-07,1,1,0.0306,0.0306,0.2,0
1,-4.0562e-07,1,1,0.0307,0.0307,0.2,0
1,-4.0813e-07,1,1,0.0308,0.0308,0.2,0
1,-4.1063e-07,1,1,0.0309,0.0309,0.2,0
1,-4.1314e-07,1,1,0.031,0.031,0.2,0
1,-4.1565e-07,1,1,0.0311,0.0311,0.2,0
1,-4.1816e-07,1,1,0.0312,0.0312,0.2,0
1,-4.2067e-07,1,1,0.0313,0.0313,0.2,0
1,-4.2317e-07,1,1,0.0314,0.0314,0.2,0
1,-4.2568e-07,1,1,0.0315,0.0315,0.2,0
1,-4.2819e-07,1,1,0.0316,0.0316,0.2,0
1,-4.307e-07,1,1,0.0317,0.0317,0.2,0
1,-4.3321e-07,1,1,0.0318,0.0318,0.2,0
1,-4.3571e-07,1,1,0.0319,0.0319,0.2,0
1,-4.3822e-07,1,1,0.032,0.032,0.2,0
1,-4.4073e-07,1,1,0.0321,0.0321,0.2,0
1,-4.4324e-07,1,1,0.0322,0.0322,0.2,0
1,-4.4575e-07,1,1,0.0323,0.0323,0.2,0
1,-4.4826e-07,1,1,0.0324,0.0324,0.2,0
1,-4.5076e-07,1,1,0.0325,0.0325,0.2,0
1,-4.5327e-07,1,1,0.0326,0.0326,0.2,0
1,-4.5578e-07,1,1,0.0327,0.0327,0.2,0
1,-4.5829e-07,1,1,0.0328,0.0328,0.2,0
1,-4.608e-07,1,1,0.0329,0.0329,0.2,0
1,-4.633e-07,1,1,0.033,0.033,0.2,0
1,-4.6581e-07,1,1,0.0331,0.0331,0.2,0
1,-4.6832e-07,1,1,0.0332,0.0332,0.2,0
