"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-2.9748e-07,2.5,-4.2545e-09,-2.5912e-08,1,0,0,0.2,0
1,-2.9183e-07,2.5,-4.0183e-09,-2.4885e-08,1,0.001,0.001,0.2,0
1,-2.8618e-07,2.5,-3.7821e-09,-2.3857e-08,1,0.002,0.002,0.2,0
1,-2.8052e-07,2.5,-3.5459e-09,-2.283e-08,1,0.003,0.003,0.2,0
1,-2.7487e-07,2.5,-3.3098e-09,-2.1802e-08,1,0.004,0.004,0.2,0
1,-2.6921e-07,2.5,-3.0736e-09,-2.0775e-08,1,0.005,0.005,0.2,0
1,-2.6356e-07,2.5,-2.8374e-09,-1.9747e-08,1,0.006,0.006,0.2,0
1,-2.579e-07,2.5,-2.6013e-09,-1.872e-08,1,0.007,0.007,0.2,0
1,-2.5225e-07,2.5,-2.3651e-09,-1.7692e-08,1,0.008,0.008,0.2,0
1,-2.4659e-07,2.5,-2.1289e-09,-1.6664e-08,1,0.009,0.009,0.2,0
1,-2.4094e-07,2.5,-1.8928e-09,-1.5637e-08,1,0.01,0.01,0.2,0
1,-2.3528e-07,2.5,-1.6566e-09,-1.4609e-08,1,0.011,0.011,0.2,0
1,-2.2963e-07,2.5,-1.4204e-09,-1.3582e-08,1,0.012,0.012,0.2,0
1,-2.2397e-07,2.5,-1.1843e-09,-1.2554e-08,1,0.013,0.013,0.2,0
1,-2.1832e-07,2.5,-9.4809e-10,-1.1527e-08,1,0.014,0.014,0.2,0
1,-2.1266e-07,2.5,-7.1192e-10,-1.0499e-08,1,0.015,0.015,0.2,0
1,-2.0701e-07,2.5,-4.7575e-10,-9.4715e-09,1,0.016,0.016,0.2,0
1,-2.0135e-07,2.5,-2.3958e-10,-8.4439e-09,1,0.017,0.017,0.2,0
1,-1.957e-07,2.5,-3.4147e-12,-7.4164e-09,1,0.018,0.018,0.2,0
1,-1.9004e-07,2.5,2.3275e-10,-6.3888e-09,1,0.019,0.019,0.2,0
1,-1.8439e-07,2.5,4.6892e-10,-5.3612e-09,1,0.02,0.02,0.2,0
