"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-2.5425e-06,2.5,-9.0088e-09,2.3582e-08,1,0,0,0.2,0
1,-2.4805e-06,2.5,-8.7294e-09,2.2814e-08,1,0.001,0.001,0.2,0
1,-2.4185e-06,2.5,-8.4499e-09,2.2046e-08,1,0.002,0.002,0.2,0
1,-2.3565e-06,2.5,-8.1704e-09,2.1278e-08,1,0.003,0.003,0.2,0
1,-2.2945e-06,2.5,-7.891e-09,2.051e-08,1,0.004,0.004,0.2,0
1,-2.2324e-06,2.5,-7.6115e-09,1.9742e-08,1,0.005,0.005,0.2,0
1,-2.1704e-06,2.5,-7.332e-09,1.8974e-08,1,0.006,0.006,0.2,0
1,-2.1084e-06,2.5,-7.0526e-09,1.8206e-08,1,0.007,0.007,0.2,0
1,-2.0464e-06,2.5,-6.7731e-09,1.7438e-08,1,0.008,0.008,0.2,0
1,-1.9844e-06,2.5,-6.4937e-09,1.667e-08,1,0.009,0.009,0.2,0
1,-1.9224e-06,2.5,-6.2142e-09,1.5902e-08,1,0.01,0.01,0.2,0
1,-1.8604e-06,2.5,-5.9347e-09,1.5134e-08,1,0.011,0.011,0.2,0
1,-1.7983e-06,2.5,-5.6553e-09,1.4366e-08,1,0.012,0.012,0.2,0
1,-1.7363e-06,2.5,-5.3758e-09,1.3598e-08,1,0.013,0.013,0.2,0
1,-1.6743e-06,2.5,-5.0963e-09,1.283e-08,1,0.014,0.014,0.2,0
1,-1.6123e-06,2.5,-4.8169e-09,1.2062e-08,1,0.015,0.015,0.2,0
1,-1.5503e-06,2.5,-4.5374e-09,1.1294e-08,1,0.016,0.016,0.2,0
1,-1.4883e-06,2.5,-4.2579e-09,1.0526e-08,1,0.017,0.017,0.2,0
1,-1.4263e-06,2.5,-3.9785e-09,9.7576e-09,1,0.018,0.018,0.2,0
1,-1.3643e-06,2.5,-3.699e-09,8.9896e-09,1,0.019,0.019,0.2,0
1,-1.3022e-06,2.5,-3.4195e-09,8.2216e-09,1,0.02,0.02,0.2,0
1,-1.2402e-06,2.5,-3.1401e-09,7.4536e-09,1,0.021,0.021,0.2,0
1,-1.1782e-06,2.5,-2.8606e-09,6.6856e-09,1,0.022,0.022,0.2,0
1,-1.1162e-06,2.5,-2.5811e-09,5.9176e-09,1,0.023,0.023,0.2,0
1,-1.0542e-06,2.5,-2.3017e-09,5.1496e-09,1,0.024,0.024,0.2,0
1,-9.9217e-07,2.5,-2.0222e-09,4.3816e-09,1,0.025,0.025,0.2,0
1,-9.3016e-07,2.5,-1.7428e-09,3.6136e-09,1,0.026,0.026,0.2,0
1,-8.6814e-07,2.5,-1.4633e-09,2.8455e-09,1,0.027,0.027,0.2,0
1,-8.0613e-07,2.5,-1.1838e-09,2.0775e-09,1,0.028,0.028,0.2,0
1,-7.4412e-07,2.5,-9.0436e-10,1.3095e-09,1,0.029,0.029,0.2,0
1,-6.821e-07,2.5,-6.2489e-10,5.4152e-10,1,0.03,0.03,0.2,0
1,-6.2009e-07,2.5,-3.4543e-10,-2.2649e-10,1,0.031,0.031,0.2,0
1,-5.5808e-07,2.5,-6.5965e-11,-9.945e-10,1,0.032,0.032,0.2,0
1,-4.9606e-07,2.5,2.135e-10,-1.7625e-09,1,0.033,0.033,0.2,0
1,-4.3405e-07,2.5,4.9296e-10,-2.5305e-09,1,0.034,0.034,0.2,0
1,-3.7203e-07,2.5,7.7243e-10,-3.2985e-09,1,0.035,0.035,0.2,0
1,-3.1002e-07,2.5,1.0519e-09,-4.0665e-09,1,0.036,0.036,0.2,0
1,-2.4801e-07,2.5,1.3314e-09,-4.8345e-09,1,0.037,0.037,0.2,0
1,-1.8599e-07,2.5,1.6108e-09,-5.6026e-09,1,0.038,0.038,0.2,0
1,-1.2398e-07,2.5,1.8903e-09,-6.3706e-09,1,0.039,0.039,0.2,0
1,-6.1967e-08,2.5,2.1698e-09,-7.1386e-09,1,0.04,0.04,0.2,0
1,4.7005e-11,2.5,2.4492e-09,-7.9066e-09,1,0.041,0.041,0.2,0
1,4.2886e-08,2.5,2.6447e-09,-8.3746e-09,1,0.042,0.042,0.2,0
1,4.7376e-08,2.5,2.6722e-09,-8.2426e-09,1,0.043,0.043,0.2,0
1,5.1867e-08,2.5,2.6997e-09,-8.1105e-09,1,0.044,0.044,0.2,0
1,5.6357e-08,2.5,2.7272e-09,-7.9785e-09,1,0.045,0.045,0.2,0
1,6.0847e-08,2.5,2.7547e-09,-7.8465e-09,1,0.046,0.046,0.2,0
1,6.5337e-08,2.5,2.7822e-09,-7.7144e-09,1,0.047,0.047,0.2,0
1,6.9828e-08,2.5,2.8097e-09,-7.5824e-09,1,0.048,0.048,0.2,0
1,7.4318e-08,2.5,2.8372e-09,-7.4504e-09,1,0.049,0.049,0.2,0
1,7.8808e-08,2.5,2.8647e-09,-7.3183e-09,1,0.05,0.05,0.2,0
1,8.3299e-08,2.5,2.8922e-09,-7.1863e-09,1,0.051,0.051,0.2,0
1,8.7789e-08,2.5,2.9197e-09,-7.0543e-09,1,0.052,0.052,0.2,0
1,9.2279e-08,2.5,2.9472e-09,-6.9222e-09,1,0.053,0.053,0.2,0
1,9.6769e-08,2.5,2.9747e-09,-6.7902e-09,1,0.054,0.054,0.2,0
1,1.0126e-07,2.5,3.0022e-09,-6.6582e-09,1,0.055,0.055,0.2,0
1,1.0575e-07,2.5,3.0297e-09,-6.5262e-09,1,0.056,0.056,0.2,0
1,1.1024e-07,2.5,3.0572e-09,-6.3941e-09,1,0.057,0.057,0.2,0
1,1.1473e-07,2.5,3.0847e-09,-6.2621e-09,1,0.058,0.058,0.2,0
1,1.1922e-07,2.5,3.1122e-09,-6.1301e-09,1,0.059,0.059,0.2,0
1,1.2371e-07,2.5,3.1397e-09,-5.998e-09,1,0.06,0.06,0.2,0
1,1.282e-07,2.5,3.1672e-09,-5.866e-09,1,0.061,0.061,0.2,0
1,1.3269e-07,2.5,3.1947e-09,-5.734e-09,1,0.062,0.062,0.2,0
1,1.3718e-07,2.5,3.2222e-09,-5.6019e-09,1,0.063,0.063,0.2,0
1,1.4167e-07,2.5,3.2497e-09,-5.4699e-09,1,0.064,0.064,0.2,0
1,1.4616e-07,2.5,3.2772e-09,-5.3379e-09,1,0.065,0.065,0.2,0
1,1.5065e-07,2.5,3.3047e-09,-5.2058e-09,1,0.066,0.066,0.2,0
1,1.5514e-07,2.5,3.3322e-09,-5.0738e-09,1,0.067,0.067,0.2,0
1,1.5963e-07,2.5,3.3597e-09,-4.9418e-09,1,0.068,0.068,0.2,0
1,1.6412e-07,2.5,3.3872e-09,-4.8098e-09,1,0.069,0.069,0.2,0
1,1.6861e-07,2.5,3.4147e-09,-4.6777e-09,1,0.07,0.07,0.2,0
1,1.731e-07,2.5,3.4422e-09,-4.5457e-09,1,0.071,0.071,0.2,0
1,1.7759e-07,2.5,3.4697e-09,-4.4137e-09,1,0.072,0.072,0.2,0
1,1.8208e-07,2.5,3.4972e-09,-4.2816e-09,1,0.073,0.073,0.2,0
1,1.8657e-07,2.5,3.5247e-09,-4.1496e-09,1,0.074,0.074,0.2,0
1,1.9107e-07,2.5,3.5522e-09,-4.0176e-09,1,0.075,0.075,0.2,0
1,1.9556e-07,2.5,3.5797e-09,-3.8855e-09,1,0.076,0.076,0.2,0
1,2.0005e-07,2.5,3.6072e-09,-3.7535e-09,1,0.077,0.077,0.2,0
1,2.0454e-07,2.5,3.6347e-09,-3.6215e-09,1,0.078,0.078,0.2,0
1,2.0903e-07,2.5,3.6622e-09,-3.4894e-09,1,0.079,0.079,0.2,0
1,2.1352e-07,2.5,3.6897e-09,-3.3574e-09,1,0.08,0.08,0.2,0
1,2.1801e-07,2.5,3.7172e-09,-3.2254e-09,1,0.081,0.081,0.2,0
1,2.225e-07,2.5,3.7447e-09,-3.0933e-09,1,0.082,0.082,0.2,0
1,2.2699e-07,2.5,3.7721e-09,-2.9613e-09,1,0.083,0.083,0.2,0
1,1.9313e-07,2.5,3.6317e-09,-2.2293e-09,1,0.084,0.084,0.2,0
1,1.401e-07,2.5,3.4072e-09,-1.1972e-09,1,0.085,0.085,0.2,0
1,8.7062e-08,2.5,3.1827e-09,-1.6512e-10,1,0.086,0.086,0.2,0
1,3.403e-08,2.5,2.9583e-09,8.6695e-10,1,0.087,0.087,0.2,0
1,-1.9003e-08,2.5,2.7338e-09,1.899e-09,1,0.088,0.088,0.2,0
