"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,8.4493e-08,1,0,-0.25,1,0
1,1,8.4378e-08,1,0.00015,-0.24985,1,0
1,1,8.4262e-08,1,0.00030001,-0.2497,1,0
1,1,8.4147e-08,1,0.00045,-0.24955,1,0
1,1,8.4032e-08,1,0.0006,-0.2494,1,0
1,1,8.3917e-08,1,0.00075001,-0.24925,1,0
1,1,8.3802e-08,1,0.0009,-0.2491,1,0
1,1,8.3686e-08,1,0.00105,-0.24895,1,0
1,1,8.3571e-08,1,0.0012,-0.2488,1,0
1,1,8.3456e-08,1,0.00135,-0.24865,1,0
1,1,8.3341e-08,1,0.0015,-0.2485,1,0
1,1,8.3226e-08,1,0.00165,-0.24835,1,0
1,1,8.311e-08,1,0.0018,-0.2482,1,0
1,1,8.2995e-08,1,0.00195,-0.24805,1,0
1,1,8.288e-08,1,0.0021,-0.2479,1,0
1,1,8.2765e-08,1,0.00225,-0.24775,1,0
1,1,8.2649e-08,1,0.0024,-0.2476,1,0
1,1,8.2534e-08,1,0.00255,-0.24745,1,0
1,1,8.2419e-08,1,0.0027,-0.2473,1,0
1,1,8.2304e-08,1,0.00285,-0.24715,1,0
1,1,8.2189e-08,1,0.003,-0.247,1,0
1,1,8.2073e-08,1,0.00315,-0.24685,1,0
1,1,8.1958e-08,1,0.0033,-0.2467,1,0
1,1,8.1843e-08,1,0.00345,-0.24655,1,0
1,1,8.1728e-08,1,0.0036,-0.2464,1,0
1,1,8.1613e-08,1,0.00375,-0.24625,1,0
1,1,8.1497e-08,1,0.0039,-0.2461,1,0
1,1,8.1382e-08,1,0.00405,-0.24595,1,0
1,1,8.1267e-08,1,0.0042,-0.2458,1,0
1,1,8.1152e-08,1,0.00435,-0.24565,1,0
1,1,8.1037e-08,1,0.0045,-0.2455,1,0
1,1,8.0921e-08,1,0.00465,-0.24535,1,0
1,1,8.0806e-08,1,0.0048,-0.2452,1,0
1,1,8.0691e-08,1,0.00495,-0.24505,1,0
1,1,8.0576e-08,1,0.0051,-0.2449,1,0
1,1,8.046e-08,1,0.00525,-0.24475,1,0
1,1,8.0345e-08,1,0.0054,-0.2446,1,0
1,1,8.023e-08,1,0.00555,-0.24445,1,0
1,1,8.0115e-08,1,0.0057,-0.2443,1,0
1,1,8e-08,1,0.00585,-0.24415,1,0
1,1,7.9884e-08,1,0.006,-0.244,1,0
1,1,7.9769e-08,1,0.00615,-0.24385,1,0
1,1,7.9654e-08,1,0.0063,-0.2437,1,0
1,1,7.9539e-08,1,0.00645,-0.24355,1,0
1,1,7.9424e-08,1,0.0066,-0.2434,1,0
1,1,7.9308e-08,1,0.00675,-0.24325,1,0
1,1,7.9193e-08,1,0.0069,-0.2431,1,0
1,1,7.9078e-08,1,0.00705,-0.24295,1,0
1,1,7.8963e-08,1,0.0072,-0.2428,1,0
1,1,7.8848e-08,1,0.00735,-0.24265,1,0
1,1,7.8732e-08,1,0.0075,-0.2425,1,0
1,1,7.8617e-08,1,0.00765,-0.24235,1,0
1,1,7.8502e-08,1,0.0078,-0.2422,1,0
1,1,7.8387e-08,1,0.00795,-0.24205,1,0
1,1,7.8271e-08,1,0.0081,-0.2419,1,0
1,1,7.8156e-08,1,0.00825,-0.24175,1,0
1,1,7.8041e-08,1,0.0084,-0.2416,1,0
