"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0294,0.99767,-0.006842,1,0,-0.25,1,0
1.0293,0.99761,-0.0068149,1,0.00015,-0.24985,1,0
1.0293,0.99755,-0.0067879,1,0.00030001,-0.2497,1,0
1.0292,0.9975,-0.0067608,1,0.00045,-0.24955,1,0
1.0291,0.99744,-0.0067337,1,0.0006,-0.2494,1,0
1.029,0.99738,-0.0067067,1,0.00075001,-0.24925,1,0
1.0289,0.99732,-0.0066796,1,0.0009,-0.2491,1,0
1.0289,0.99727,-0.0066526,1,0.00105,-0.24895,1,0
1.0288,0.99721,-0.0066255,1,0.0012,-0.2488,1,0
1.0287,0.99715,-0.0065984,1,0.00135,-0.24865,1,0
1.0286,0.9971,-0.0065714,1,0.0015,-0.2485,1,0
1.0286,0.99704,-0.0065443,1,0.00165,-0.24835,1,0
1.0285,0.99698,-0.0065172,1,0.0018,-0.2482,1,0
1.0284,0.99692,-0.0064902,1,0.00195,-0.24805,1,0
1.0283,0.99687,-0.0064631,1,0.0021,-0.2479,1,0
1.0283,0.99681,-0.006436,1,0.00225,-0.24775,1,0
1.0282,0.99675,-0.006409,1,0.0024,-0.2476,1,0
1.0281,0.9967,-0.0063819,1,0.00255,-0.24745,1,0
1.028,0.99664,-0.0063549,1,0.0027,-0.2473,1,0
1.0279,0.99658,-0.0063278,1,0.00285,-0.24715,1,0
1.0279,0.99652,-0.0063007,1,0.003,-0.247,1,0
1.0278,0.99647,-0.0062737,1,0.00315,-0.24685,1,0
1.0277,0.99641,-0.0062466,1,0.0033,-0.2467,1,0
1.0276,0.99635,-0.0062195,1,0.00345,-0.24655,1,0
1.0276,0.9963,-0.0061925,1,0.0036,-0.2464,1,0
1.0275,0.99624,-0.0061654,1,0.00375,-0.24625,1,0
1.0274,0.99618,-0.0061383,1,0.0039,-0.2461,1,0
1.0273,0.99612,-0.0061113,1,0.00405,-0.24595,1,0
1.0273,0.99607,-0.0060842,1,0.0042,-0.2458,1,0
1.0272,0.99601,-0.0060572,1,0.00435,-0.24565,1,0
1.0271,0.99595,-0.0060301,1,0.0045,-0.2455,1,0
