  120  1.0000E+00
   i   x             den           ener          pres          vel           cs
    1  6.250000E-03  4.044975E-06  1.348409E+05  2.181712E-01  2.976190E-03  2.747924E+02
    2  1.875000E-02  6.305492E-05  8.650046E+03  2.181712E-01  8.928571E-03  6.959904E+01
    3  3.125000E-02  2.261210E-04  2.412107E+03  2.181712E-01  1.488095E-02  3.675296E+01
    4  4.375000E-02  5.243980E-04  1.040103E+03  2.181712E-01  2.083333E-02  2.413416E+01
    5  5.625000E-02  9.829297E-04  5.549007E+02  2.181713E-01  2.678572E-02  1.762794E+01
    6  6.875000E-02  1.623299E-03  3.360004E+02  2.181716E-01  3.273811E-02  1.371715E+01
    7  8.125000E-02  2.464768E-03  2.212907E+02  2.181721E-01  3.869051E-02  1.113206E+01
    8  9.375000E-02  3.524906E-03  1.547367E+02  2.181729E-01  4.464294E-02  9.308735E+00
    9  1.062500E-01  4.819970E-03  1.131616E+02  2.181742E-01  5.059540E-02  7.960558E+00
   10  1.187500E-01  6.365171E-03  8.569139E+01  2.181761E-01  5.654792E-02  6.927278E+00
   11  1.312500E-01  8.174858E-03  6.672256E+01  2.181790E-01  6.250052E-02  6.112662E+00
   12  1.437500E-01  1.026265E-02  5.314973E+01  2.181829E-01  6.845324E-02  5.455625E+00
   13  1.562500E-01  1.264158E-02  4.314895E+01  2.181883E-01  7.440613E-02  4.915629E+00
   14  1.687500E-01  1.532411E-02  3.559674E+01  2.181954E-01  8.035923E-02  4.464771E+00
   15  1.812500E-01  1.832229E-02  2.977309E+01  2.182045E-01  8.631261E-02  4.083250E+00
   16  1.937500E-01  2.164777E-02  2.520077E+01  2.182162E-01  9.226636E-02  3.756652E+00
   17  2.062500E-01  2.531186E-02  2.155421E+01  2.182308E-01  9.822056E-02  3.474242E+00
   18  2.187500E-01  2.932559E-02  1.860567E+01  2.182489E-01  1.041753E-01  3.227875E+00
   19  2.312500E-01  3.369975E-02  1.619234E+01  2.182710E-01  1.101308E-01  3.011264E+00
   20  2.437500E-01  3.844493E-02  1.419548E+01  2.182978E-01  1.160872E-01  2.819481E+00
   21  2.562500E-01  4.357157E-02  1.252707E+01  2.183297E-01  1.220445E-01  2.648615E+00
   22  2.687500E-01  4.909001E-02  1.112078E+01  2.183676E-01  1.280031E-01  2.495523E+00
   23  2.812500E-01  5.501049E-02  9.925938E+00  2.184123E-01  1.339631E-01  2.357653E+00
   24  2.937500E-01  6.134323E-02  8.903365E+00  2.184644E-01  1.399249E-01  2.232909E+00
   25  3.062500E-01  6.809845E-02  8.022393E+00  2.185250E-01  1.458886E-01  2.119561E+00
   26  3.187500E-01  7.528644E-02  7.258774E+00  2.185949E-01  1.518545E-01  2.016163E+00
   27  3.312500E-01  8.291757E-02  6.593148E+00  2.186751E-01  1.578231E-01  1.921500E+00
   28  3.437500E-01  9.100234E-02  6.009920E+00  2.187667E-01  1.637947E-01  1.834545E+00
   29  3.562500E-01  9.955145E-02  5.496424E+00  2.188708E-01  1.697697E-01  1.754422E+00
   30  3.687500E-01  1.085758E-01  5.042294E+00  2.189885E-01  1.757486E-01  1.680382E+00
