"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,8.8274e-07,1,1,0,0,0.2,0
1,8.7668e-07,1,1,0.0001,0.0001,0.2,0
1,8.7063e-07,1,1,0.0002,0.0002,0.2,0
1,8.6457e-07,1,1,0.0003,0.0003,0.2,0
1,8.5851e-07,1,1,0.0004,0.0004,0.2,0
1,8.5246e-07,1,1,0.0005,0.0005,0.2,0
1,8.464e-07,1,1,0.0006,0.0006,0.2,0
1,8.4035e-07,1,1,0.0007,0.0007,0.2,0
1,8.3429e-07,1,1,0.0008,0.0008,0.2,0
1,8.2824e-07,1,1,0.0009,0.0009,0.2,0
1,8.2218e-07,1,1,0.001,0.001,0.2,0
1,8.1612e-07,1,1,0.0011,0.0011,0.2,0
1,8.1007e-07,1,1,0.0012,0.0012,0.2,0
1,8.0401e-07,1,1,0.0013,0.0013,0.2,0
1,7.9796e-07,1,1,0.0014,0.0014,0.2,0
1,7.919e-07,1,1,0.0015,0.0015,0.2,0
1,7.8584e-07,1,1,0.0016,0.0016,0.2,0
1,7.7979e-07,1,1,0.0017,0.0017,0.2,0
1,7.7373e-07,1,1,0.0018,0.0018,0.2,0
1,7.6768e-07,1,1,0.0019,0.0019,0.2,0
1,7.6162e-07,1,1,0.002,0.002,0.2,0
1,7.5556e-07,1,1,0.0021,0.0021,0.2,0
1,7.4951e-07,1,1,0.0022,0.0022,0.2,0
1,7.4345e-07,1,1,0.0023,0.0023,0.2,0
1,7.374e-07,1,1,0.0024,0.0024,0.2,0
1,7.3134e-07,1,1,0.0025,0.0025,0.2,0
1,7.2529e-07,1,1,0.0026,0.0026,0.2,0
1,7.1923e-07,1,1,0.0027,0.0027,0.2,0
1,7.1317e-07,1,1,0.0028,0.0028,0.2,0
1,7.0712e-07,1,1,0.0029,0.0029,0.2,0
1,7.0106e-07,1,1,0.003,0.003,0.2,0
1,6.9501e-07,1,1,0.0031,0.0031,0.2,0
1,6.8895e-07,1,1,0.0032,0.0032,0.2,0
1,6.8289e-07,1,1,0.0033,0.0033,0.2,0
1,6.7684e-07,1,1,0.0034,0.0034,0.2,0
1,6.7078e-07,1,1,0.0035,0.0035,0.2,0
1,6.6473e-07,1,1,0.0036,0.0036,0.2,0
1,6.5867e-07,1,1,0.0037,0.0037,0.2,0
1,6.5262e-07,1,1,0.0038,0.0038,0.2,0
1,6.4656e-07,1,1,0.0039,0.0039,0.2,0
