"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99939,0.0012766,0.99929,1,0,0,0.2,0
0.99939,0.001274,0.99929,1,0.0001,0.0001,0.2,0
0.99939,0.0012715,0.99929,1,0.0002,0.0002,0.2,0
0.99939,0.0012689,0.99929,1,0.0003,0.0003,0.2,0
0.9994,0.0012664,0.9993,1,0.0004,0.0004,0.2,0
0.9994,0.0012638,0.9993,1,0.0005,0.0005,0.2,0
0.9994,0.0012613,0.9993,1,0.0006,0.0006,0.2,0
0.9994,0.0012587,0.9993,1,0.0007,0.0007,0.2,0
0.9994,0.0012562,0.9993,1,0.0008,0.0008,0.2,0
0.9994,0.0012536,0.9993,1,0.0009,0.0009,0.2,0
0.9994,0.0012511,0.9993,1,0.001,0.001,0.2,0
0.9994,0.0012485,0.99931,1,0.0011,0.0011,0.2,0
0.9994,0.001246,0.99931,1,0.0012,0.0012,0.2,0
0.9994,0.0012434,0.99931,1,0.0013,0.0013,0.2,0
0.99941,0.0012409,0.99931,1,0.0014,0.0014,0.2,0
0.99941,0.0012383,0.99931,1,0.0015,0.0015,0.2,0
0.99941,0.0012358,0.99931,1,0.0016,0.0016,0.2,0
0.99941,0.0012332,0.99931,1,0.0017,0.0017,0.2,0
0.99941,0.0012307,0.99931,1,0.0018,0.0018,0.2,0
0.99941,0.0012281,0.99932,1,0.0019,0.0019,0.2,0
0.99941,0.0012256,0.99932,1,0.002,0.002,0.2,0
0.99941,0.001223,0.99932,1,0.0021,0.0021,0.2,0
0.99941,0.0012205,0.99932,1,0.0022,0.0022,0.2,0
0.99941,0.0012179,0.99932,1,0.0023,0.0023,0.2,0
0.99941,0.0012154,0.99932,1,0.0024,0.0024,0.2,0
0.99942,0.0012128,0.99932,1,0.0025,0.0025,0.2,0
0.99942,0.0012103,0.99932,1,0.0026,0.0026,0.2,0
0.99942,0.0012078,0.99933,1,0.0027,0.0027,0.2,0
0.99942,0.0012052,0.99933,1,0.0028,0.0028,0.2,0
0.99942,0.0012027,0.99933,1,0.0029,0.0029,0.2,0
0.99942,0.0012001,0.99933,1,0.003,0.003,0.2,0
0.99942,0.0011976,0.99933,1,0.0031,0.0031,0.2,0
0.99942,0.001195,0.99933,1,0.0032,0.0032,0.2,0
0.99942,0.0011925,0.99933,1,0.0033,0.0033,0.2,0
0.99942,0.0011899,0.99934,1,0.0034,0.0034,0.2,0
0.99942,0.0011874,0.99934,1,0.0035,0.0035,0.2,0
0.99943,0.0011848,0.99934,1,0.0036,0.0036,0.2,0
0.99943,0.0011823,0.99934,1,0.0037,0.0037,0.2,0
0.99943,0.0011797,0.99934,1,0.0038,0.0038,0.2,0
0.99943,0.0011772,0.99934,1,0.0039,0.0039,0.2,0
0.99943,0.0011746,0.99934,1,0.004,0.004,0.2,0
0.99943,0.0011721,0.99934,1,0.0041,0.0041,0.2,0
0.99943,0.0011695,0.99935,1,0.0042,0.0042,0.2,0
0.99943,0.001167,0.99935,1,0.0043,0.0043,0.2,0
0.99943,0.0011644,0.99935,1,0.0044,0.0044,0.2,0
0.99943,0.0011619,0.99935,1,0.0045,0.0045,0.2,0
0.99944,0.0011593,0.99935,1,0.0046,0.0046,0.2,0
0.99944,0.0011568,0.99935,1,0.0047,0.0047,0.2,0
0.99944,0.0011542,0.99935,1,0.0048,0.0048,0.2,0
0.99944,0.0011517,0.99935,1,0.0049,0.0049,0.2,0
0.99944,0.0011491,0.99936,1,0.005,0.005,0.2,0
0.99944,0.0011466,0.99936,1,0.0051,0.0051,0.2,0
0.99944,0.001144,0.99936,1,0.0052,0.0052,0.2,0
